date,driving,walking,transit
2020-08-02,9174.71,6930.93,2106.88
2020-08-03,8982.47,7759.51,2330.19
2020-08-04,8843.28,8004.44,2339.52
2020-08-05,9078.76,8263.44,2374.33
2020-08-06,9274.59,8279.38,2358.18
2020-08-07,10036.8,8536.3,2410.66
2020-08-08,9896.83,8416.62,2283.39
2020-08-09,9279.68,7181.76,2219.97
2020-08-10,9041.8,8167.18,2425.57
2020-08-11,8920.45,8149.92,2401.33
2020-08-12,9021.61,8170.39,2386.2
2020-08-13,9146.9,8129.98,2350.08
2020-08-14,9954.76,8536.76,2380.31
2020-08-15,9671.4,8323.18,2207.41
2020-08-16,9128.82,7143.33,2178.21
2020-08-17,8695.68,7935.38,2371.79
2020-08-18,8797.86,8206.81,2368.67
2020-08-19,8962.26,8088.22,2339.79
2020-08-20,9130.34,8150.5,2326.29
2020-08-21,9612.91,8298.74,2357.24
2020-08-22,9318.71,7954.08,2175.98
2020-08-23,8654.56,6737.14,2150.84
2020-08-24,8283.53,7538.82,2337.99
2020-08-25,8169.7,7538.12,2358.39
2020-08-26,8292.38,7542.35,2386.84
2020-08-27,8423.81,7611.48,2348.87
2020-08-28,9200.09,8063.61,2438.68
2020-08-29,8679.07,7622.54,2226.05
2020-08-30,8082.34,6404.7,2176.6
2020-08-31,7846.72,7197.92,2475.08
2020-09-01,7704.37,7345.93,2495.24
2020-09-02,7770.14,7309.66,2463.3
2020-09-03,8063.18,7456.48,2458.46
2020-09-04,8960.57,8080.28,2540.6
2020-09-05,8624.12,7976.93,2322.92
2020-09-06,7905.98,6513.94,2238.51
2020-09-07,7559.44,7013.83,2411.84
2020-09-08,7522.43,7075.97,2416.01
2020-09-09,7612.06,7183.32,2427.13
2020-09-10,7706.14,7159.02,2339.71
2020-09-11,8673.38,7919.59,2558.21
2020-09-12,8398.68,7933.29,2390.55
2020-09-13,7737.48,6517.05,2291.6
2020-09-14,7335.26,7039.16,2457.17
2020-09-15,7474.6,7159.33,2461.91
2020-09-16,7648.93,7386.79,2597.59
2020-09-17,8025.56,7725.93,2753.94
2020-09-18,8641.86,8232.64,2805.62
2020-09-19,8237.68,8153.96,2622
2020-09-20,7638.46,6805.21,2548.02
2020-09-21,7101.36,7067.51,2578.72
2020-09-22,7068.85,7104.31,2501.28
2020-09-23,7124.68,7057.95,2464.35
2020-09-24,7160.95,6995.09,2420.88
2020-09-25,7889.11,7525.37,2514.75
2020-09-26,7497.47,7412.8,2335.09
2020-09-27,6825.18,6120.49,2214.05
2020-09-28,6603.44,6513.72,2333.55
2020-09-29,6701.93,6709.36,2337.8
2020-09-30,6890.29,6906.39,2390.89
2020-10-01,7054.75,7056.81,2386.39
2020-10-02,7762.92,7594.1,2480.85
